index,season,episode,episode_num,snatch_game_episode,ru_rank,missc,queen,challenge_outcome,eliminated,participant,minichalw,finale,penultimate
128,S02,6,S02E6,0,5,1,Pandora Boxx,HIGH,0,1,1,0,0
129,S02,6,S02E6,0,6,0,Jessica Wild,WIN,0,1,0,0,0
130,S02,6,S02E6,0,7,0,Sahara Davenport,ELIM,1,1,0,0,0
136,S02,7,S02E7,0,1,0,Tyra Sanchez,SAFE,0,1,0,0,0
137,S02,7,S02E7,0,2,0,Raven,WIN,0,1,0,0,0
138,S02,7,S02E7,0,3,0,Jujubee,HIGH,0,1,1,0,0
139,S02,7,S02E7,0,4,0,Tatianna,BTM,0,1,0,0,0
140,S02,7,S02E7,0,5,1,Pandora Boxx,LOW,0,1,0,0,0
141,S02,7,S02E7,0,6,0,Jessica Wild,ELIM,1,1,0,0,0
148,S02,8,S02E8,0,1,0,Tyra Sanchez,HIGH,0,1,0,0,0
149,S02,8,S02E8,0,2,0,Raven,WIN,0,1,0,0,0
150,S02,8,S02E8,0,3,0,Jujubee,BTM,0,1,0,0,0
151,S02,8,S02E8,0,4,0,Tatianna,HIGH,0,1,1,0,0
152,S02,8,S02E8,0,5,1,Pandora Boxx,ELIM,1,1,0,0,0
160,S02,9,S02E9,0,1,0,Tyra Sanchez,WIN,0,1,1,0,0
161,S02,9,S02E9,0,2,0,Raven,HIGH,0,1,0,0,0
162,S02,9,S02E9,0,3,0,Jujubee,BTM,0,1,0,0,0
163,S02,9,S02E9,0,4,0,Tatianna,ELIM,1,1,0,0,0
172,S02,11,S02E11,0,1,0,Tyra Sanchez,QUEEN SUPREME,0,1,0,1,0
173,S02,11,S02E11,0,2,0,Raven,FINALE,0,1,0,1,0
174,S02,11,S02E11,0,3,0,Jujubee,FINALE,0,1,0,1,0
184,S03,2,S03E2,0,1,0,Raja,WIN,0,1,1,0,0
185,S03,2,S03E2,0,2,0,Manila Luzon,HIGH,0,1,0,0,0
186,S03,2,S03E2,0,3,0,Alexis Mateo,SAFE,0,1,0,0,0
187,S03,2,S03E2,0,4,1,Yara Sofia,SAFE,0,1,0,0,0
188,S03,2,S03E2,0,5,0,Carmen Carrera,LOW,0,1,0,0,0
189,S03,2,S03E2,0,6,0,Shangela,BTM,0,1,0,0,0
190,S03,2,S03E2,0,7,0,Delta Work,SAFE,0,1,0,0,0
191,S03,2,S03E2,0,8,0,Stacy Layne Matthews,SAFE,0,1,0,0,0
192,S03,2,S03E2,0,9,0,Mariah,SAFE,0,1,0,0,0
193,S03,2,S03E2,0,10,0,India Ferrah,SAFE,0,1,0,0,0
194,S03,2,S03E2,0,11,0,Mimi Imfurst,HIGH,0,1,0,0,0
195,S03,2,S03E2,0,12,0,Phoenix,SAFE,0,1,0,0,0
196,S03,2,S03E2,0,13,0,Venus D-Lite,ELIM,1,1,0,0,0
197,S03,3,S03E3,0,1,0,Raja,SAFE,0,1,0,0,0
198,S03,3,S03E3,0,2,0,Manila Luzon,SAFE,0,1,0,0,0
199,S03,3,S03E3,0,3,0,Alexis Mateo,WIN,0,1,0,0,0
200,S03,3,S03E3,0,4,1,Yara Sofia,SAFE,0,1,0,0,0
201,S03,3,S03E3,0,5,0,Carmen Carrera,LOW,0,1,0,0,0
202,S03,3,S03E3,0,6,0,Shangela,WIN,0,1,0,0,0
203,S03,3,S03E3,0,7,0,Delta Work,BTM,0,1,0,0,0
204,S03,3,S03E3,0,8,0,Stacy Layne Matthews,SAFE,0,1,0,0,0
205,S03,3,S03E3,0,9,0,Mariah,SAFE,0,1,0,0,0
206,S03,3,S03E3,0,10,0,India Ferrah,SAFE,0,1,0,0,0
207,S03,3,S03E3,0,11,0,Mimi Imfurst,SAFE,0,1,0,0,0
208,S03,3,S03E3,0,12,0,Phoenix,BTM,0,1,0,0,0
210,S03,4,S03E4,0,1,0,Raja,SAFE,0,1,0,0,0
211,S03,4,S03E4,0,2,0,Manila Luzon,SAFE,0,1,0,0,0
212,S03,4,S03E4,0,3,0,Alexis Mateo,WIN,0,1,0,0,0
213,S03,4,S03E4,0,4,1,Yara Sofia,HIGH,0,1,0,0,0
214,S03,4,S03E4,0,5,0,Carmen Carrera,SAFE,0,1,0,0,0
215,S03,4,S03E4,0,6,0,Shangela,SAFE,0,1,0,0,0
216,S03,4,S03E4,0,7,0,Delta Work,SAFE,0,1,0,0,0
217,S03,4,S03E4,0,8,0,Stacy Layne Matthews,HIGH,0,1,0,0,0
218,S03,4,S03E4,0,9,0,Mariah,LOW,0,1,0,0,0
219,S03,4,S03E4,0,10,0,India Ferrah,BTM,0,1,0,0,0
220,S03,4,S03E4,0,11,0,Mimi Imfurst,ELIM,1,1,0,0,0
223,S03,5,S03E5,0,1,0,Raja,SAFE,0,1,0,0,0
224,S03,5,S03E5,0,2,0,Manila Luzon,WIN,0,1,0,0,0
225,S03,5,S03E5,0,3,0,Alexis Mateo,SAFE,0,1,0,0,0
226,S03,5,S03E5,0,4,1,Yara Sofia,SAFE,0,1,0,0,0
227,S03,5,S03E5,0,5,0,Carmen Carrera,SAFE,0,1,0,0,0
228,S03,5,S03E5,0,6,0,Shangela,HIGH,0,1,0,0,0
229,S03,5,S03E5,0,7,0,Delta Work,SAFE,0,1,0,0,0
230,S03,5,S03E5,0,8,0,Stacy Layne Matthews,BTM,0,1,0,0,0
231,S03,5,S03E5,0,9,0,Mariah,LOW,0,1,0,0,0
232,S03,5,S03E5,0,10,0,India Ferrah,ELIM,1,1,0,0,0
236,S03,6,S03E6,0,1,0,Raja,SG HIGH,0,1,0,0,0
237,S03,6,S03E6,0,2,0,Manila Luzon,SG SAFE,0,1,0,0,0
238,S03,6,S03E6,0,3,0,Alexis Mateo,SG HIGH,0,1,0,0,0
239,S03,6,S03E6,0,4,1,Yara Sofia,SG LOW,0,1,0,0,0
240,S03,6,S03E6,0,5,0,Carmen Carrera,SG SAFE,0,1,0,0,0
241,S03,6,S03E6,0,6,0,Shangela,SG SAFE,0,1,0,0,0
242,S03,6,S03E6,0,7,0,Delta Work,SG BTM,0,1,0,0,0
243,S03,6,S03E6,0,8,0,Stacy Layne Matthews,SG WIN,0,1,0,0,0
244,S03,6,S03E6,0,9,0,Mariah,SG ELIM,1,1,0,0,0
249,S03,7,S03E7,0,1,0,Raja,WIN,0,1,0,0,0
250,S03,7,S03E7,0,2,0,Manila Luzon,HIGH,0,1,0,0,0
251,S03,7,S03E7,0,3,0,Alexis Mateo,BTM,0,1,0,0,0
252,S03,7,S03E7,0,4,1,Yara Sofia,HIGH,0,1,0,0,0
253,S03,7,S03E7,0,5,0,Carmen Carrera,LOW,0,1,1,0,0
254,S03,7,S03E7,0,6,0,Shangela,LOW,0,1,0,0,0
255,S03,7,S03E7,0,7,0,Delta Work,HIGH,0,1,0,0,0
256,S03,7,S03E7,0,8,0,Stacy Layne Matthews,ELIM,1,1,0,0,0
262,S03,8,S03E8,0,1,0,Raja,HIGH,0,1,0,0,0
263,S03,8,S03E8,0,2,0,Manila Luzon,BTM,0,1,0,0,0
264,S03,8,S03E8,0,3,0,Alexis Mateo,LOW,0,1,0,0,0
265,S03,8,S03E8,0,4,1,Yara Sofia,HIGH,0,1,0,0,0
266,S03,8,S03E8,0,5,0,Carmen Carrera,HIGH,0,1,0,0,0
267,S03,8,S03E8,0,6,0,Shangela,WIN,0,1,1,0,0
268,S03,8,S03E8,0,7,0,Delta Work,ELIM,1,1,0,0,0
275,S03,9,S03E9,0,1,0,Raja,LOW,0,1,0,0,0
276,S03,9,S03E9,0,2,0,Manila Luzon,LOW,0,1,1,0,0
