,season,season_rank,queen_name,age,city,state,queen_supreme,finale,chall_wins,high,safe,low,btm,elim,sg_win,sg_high,sg_safe,sg_low,sg_btm,sg_elim,dfl_score,dfl_rank
37,S04,4,Latrice Royale,39,South Beach, Florida,0,0,2,2,2,1,2,1,0,0,1,0,0,0,39,4.0
38,S04,5,Kenya Michaels,21,Dorado, Puerto Rico,0,0,0,2,0,2,1,0,0,0,0,0,0,1,15,7.0
39,S04,6,Dida Ritz,25,Chicago, Illinois,0,0,0,0,4,2,1,1,0,0,1,0,0,0,20,6.0
40,S04,7,Willam,29,Los Angeles, California,0,0,1,0,4,0,1,1,0,1,0,0,0,0,26,5.0
41,S04,8,Jiggly Caliente,30,Queens, New York,0,0,0,0,3,0,2,1,0,0,1,0,0,0,14,8.5
42,S04,9,Milan,36,Florence, South Carolina,0,0,0,0,3,0,1,1,0,0,0,0,1,0,11,10.0
43,S04,10,Madame LaQueer,29,Carolina, Puerto Rico,0,0,1,0,1,1,1,0,0,0,0,0,0,0,14,8.5
44,S04,11,The Princess,32,Chicago, Illinois,0,0,0,1,0,0,1,1,0,0,0,0,0,0,6,11.0
45,S04,12,Lashauwn Beyond,21,Fort Lauderdale,Florida,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,12.0
46,S04,13,Alisa Summers,23,Tampa, Florida,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13.0
47,S05,1,Jinkx Monsoon,24,Seattle, Washington,1,0,1,7,1,0,1,0,1,0,0,0,0,0,65,1.0
48,S05,2,Alaska,27,Pittsburgh, Pennsylvania,0,1,2,3,3,2,0,0,0,1,0,0,0,0,49,2.5
49,S05,2,Roxxxy Andrews,28,Orlando, Florida,0,1,2,4,1,2,1,0,0,1,0,0,0,0,49,2.5
50,S05,4,Detox,27,Los Angeles, California,0,0,1,1,5,1,1,1,0,0,0,0,1,0,32,4.0
51,S05,5,Coco Montrese,37,Las Vegas, Nevada,0,0,1,1,3,0,3,1,0,0,1,0,0,0,28,6.0
52,S05,6,Alyssa Edwards,32,Mesquite, Texas,0,0,1,1,2,1,3,0,0,0,1,0,0,0,27,7.0
53,S05,7,Ivy Winters,26,New York, New York,0,0,1,2,2,1,1,0,0,0,0,1,0,0,29,5.0
54,S05,8,Jade Jolie,25,Gainesville, Florida,0,0,0,1,2,1,0,1,0,0,1,0,0,0,16,9.0
55,S05,9,Lineysha Sparx,24,San Juan, Puerto Rico,0,0,1,1,1,1,0,0,0,0,0,0,0,1,18,8.0
56,S05,10,Vivienne Pinay,26,New York, New York,0,0,0,0,2,1,0,1,0,0,0,0,0,0,8,11.0
57,S05,10,Honey Mahogany,29,San Francisco, California,0,0,0,0,3,0,0,1,0,0,0,0,0,0,9,10.0
58,S05,12,Monica Beverly Hillz,27,Owensboro, Kentucky,0,0,0,0,1,0,1,1,0,0,0,0,0,0,4,12.0
59,S05,13,Serena Cha Cha,21,Tallahassee, Florida,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,13.0
60,S05,14,Penny Tration,39,Cincinnati, Ohio,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14.0
61,S06,1,Bianca Del Rio,36,New Orleans, Louisiana,1,0,4,3,3,0,0,0,0,1,0,0,0,0,71,1.0
62,S06,2,Adore Delano,23,Azusa, California,0,1,4,1,1,2,2,0,0,1,0,0,0,0,51,2.0
63,S06,2,Courtney Act,31,West Hollywood, California,0,1,3,0,4,3,0,0,0,0,1,0,0,0,45,3.0
64,S06,4,Darienne Lake,41,Rochester, New York,0,0,1,1,1,3,3,1,0,0,1,0,0,0,28,5.0
65,S06,5,BenDeLaCreme,31,Seattle, Washington,0,0,1,4,1,1,2,0,1,0,0,0,0,0,43,4.0
66,S06,6,Joslyn Fox,26,Worcester, Massachusetts,0,0,0,1,2,3,1,1,0,0,1,0,0,0,21,7.5
67,S06,7,Trinity K. Bonet,22,Atlanta, Georgia,0,0,0,3,1,0,2,1,0,0,1,0,0,0,23,6.0
68,S06,8,Laganja Estranja,24,Van Nuys, California,0,0,1,0,4,0,0,1,0,0,0,0,1,0,21,7.5
69,S06,9,Milk,25,New York, New York,0,0,0,1,2,0,0,1,0,0,0,1,0,0,13,9.5
70,S06,10,Gia Gunn,23,Chicago, Illinois,0,0,0,2,1,0,0,0,0,0,0,0,0,1,13,9.5
71,S06,11,April Carrión,24,Guaynabo, Puerto Rico,0,0,0,1,0,0,1,1,0,0,0,0,0,0,6,11.0
72,S06,12,Vivacious,40,New York, New York,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,12.0
73,S06,13,Magnolia Crawford,27,Seattle, Washington,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13.5
74,S06,13,Kelly Mantle,37,Los Angeles, California,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13.5
75,S07,1,Violet Chachki,22,Atlanta, Georgia,1,0,4,2,3,2,0,0,0,0,1,0,0,0,68,1.0
76,S07,2,Ginger Minj,29,Orlando, Florida,0,1,3,2,4,0,2,0,1,0,0,0,0,0,56,2.0
77,S07,2,Pearl,23,Brooklyn, New York,0,1,3,1,4,1,2,0,0,0,1,0,0,0,48,3.0
78,S07,4,Kennedy Davenport,33,Dallas, Texas,0,0,1,3,4,0,2,1,1,0,0,0,0,0,45,5.0
